powderblue,#B0E0E6,176,224,230,15130800
cadetblue 1,#98F5FF,152,245,255,16774552
cadetblue 2,#8EE5EE,142,229,238,15656334
cadetblue 3,#7AC5CD,122,197,205,13485434
cadetblue 4,#53868B,83,134,139,9143891
turquoise 1,#00F5FF,0,245,255,16774400
turquoise 2,#00E5EE,0,229,238,15656192
turquoise 3,#00C5CD,0,197,205,13485312
turquoise 4,#00868B,0,134,139,9143808
cadetblue,#5F9EA0,95,158,160,10526303
darkturquoise,#00CED1,0,206,209,13749760
azure,#F0FFFF,240,255,255,16777200
azure 1,#F0FFFF,240,255,255,16777200
azure 2,#E0EEEE,224,238,238,15658720
azure 3,#C1CDCD,193,205,205,13487553
azure 4,#838B8B,131,139,139,9145219
lightcyan,#E0FFFF,224,255,255,16777184
lightcyan 1,#E0FFFF,224,255,255,16777184
lightcyan 2,#D1EEEE,209,238,238,15658705
lightcyan 3,#B4CDCD,180,205,205,13487540
lightcyan 4,#7A8B8B,122,139,139,9145210
paleturquoise 1,#BBFFFF,187,255,255,16777147
paleturquoise 2,#AEEEEE,174,238,238,15658670
paleturquoise,#AEEEEE,174,238,238,15658670
paleturquoise 3,#96CDCD,150,205,205,13487510
paleturquoise 4,#668B8B,102,139,139,9145190
darkslategray,#2F4F4F,47,79,79,5197615
darkslategray 1,#97FFFF,151,255,255,16777111
darkslategray 2,#8DEEEE,141,238,238,15658637
darkslategray 3,#79CDCD,121,205,205,13487481
darkslategray 4,#528B8B,82,139,139,9145170
aqua,#00FFFF,0,255,255,16776960
cyan,#00FFFF,0,255,255,16776960
cyan 2,#00EEEE,0,238,238,15658496
cyan 3,#00CDCD,0,205,205,13487360
cyan 4,#008B8B,0,139,139,9145088
darkcyan,#008B8B,0,139,139,9145088
teal,#008080,0,128,128,8421376
mediumturquoise,#48D1CC,72,209,204,13422920
lightseagreen,#20B2AA,32,178,170,11186720
manganeseblue,#03A89E,3,168,158,10397699
turquoise,#40E0D0,64,224,208,13688896
coldgrey,#808A87,128,138,135,8882816
turquoiseblue,#00C78C,0,199,140,9225984
aquamarine,#7FFFD4,127,255,212,13959039
aquamarine 1,#7FFFD4,127,255,212,13959039
aquamarine 2,#76EEC6,118,238,198,13037174
mediumaquamarine,#66CDAA,102,205,170,11193702
aquamarine 3,#66CDAA,102,205,170,11193702
aquamarine 4,#458B74,69,139,116,7637829
mediumspringgreen,#00FA9A,0,250,154,10156544
mintcream,#F5FFFA,245,255,250,16449525
springgreen,#00FF7F,0,255,127,8388352
springgreen 1,#00EE76,0,238,118,7794176
springgreen 2,#00CD66,0,205,102,6737152
springgreen 3,#008B45,0,139,69,4557568
mediumseagreen,#3CB371,60,179,113,7451452
seagreen 1,#54FF9F,84,255,159,10485588
seagreen 2,#4EEE94,78,238,148,9760334
seagreen 3,#43CD80,67,205,128,8441155
seagreen 4,#2E8B57,46,139,87,5737262
seagreen,#2E8B57,46,139,87,5737262
emeraldgreen,#00C957,0,201,87,5753088
mint,#BDFCC9,189,252,201,13237437
cobaltgreen,#3D9140,61,145,64,4231485
honeydew,#F0FFF0,240,255,240,15794160
honeydew 1,#F0FFF0,240,255,240,15794160
honeydew 2,#E0EEE0,224,238,224,14741216
honeydew 3,#C1CDC1,193,205,193,12701121
honeydew 4,#838B83,131,139,131,8620931
darkseagreen,#8FBC8F,143,188,143,9419919
darkseagreen 1,#C1FFC1,193,255,193,12713921
darkseagreen 2,#B4EEB4,180,238,180,11857588
darkseagreen 3,#9BCD9B,155,205,155,10210715
darkseagreen 4,#698B69,105,139,105,6916969
palegreen,#98FB98,152,251,152,10025880
palegreen 1,#9AFF9A,154,255,154,10157978
palegreen 2,#90EE90,144,238,144,9498256
lightgreen,#90EE90,144,238,144,9498256
palegreen 3,#7CCD7C,124,205,124,8179068
palegreen 4,#548B54,84,139,84,5540692
limegreen,#32CD32,50,205,50,3329330
forestgreen,#228B22,34,139,34,2263842
lime,#00FF00,0,255,0,65280
green 1,#00FF00,0,255,0,65280
green 2,#00EE00,0,238,0,60928
green 3,#00CD00,0,205,0,52480
green 4,#008B00,0,139,0,35584
green,#008000,0,128,0,32768
darkgreen,#006400,0,100,0,25600
sapgreen,#308014,48,128,20,1343536
lawngreen,#7CFC00,124,252,0,64636
chartreuse,#7FFF00,127,255,0,65407
chartreuse 1,#7FFF00,127,255,0,65407
chartreuse 2,#76EE00,118,238,0,61046
chartreuse 3,#66CD00,102,205,0,52582
chartreuse 4,#458B00,69,139,0,35653
greenyellow,#ADFF2F,173,255,47,3145645
darkolivegreen 1,#CAFF70,202,255,112,7405514
darkolivegreen 2,#BCEE68,188,238,104,6876860
darkolivegreen 3,#A2CD5A,162,205,90,5950882
darkolivegreen 4,#6E8B3D,110,139,61,4033390
darkolivegreen,#556B2F,85,107,47,3107669
olivedrab,#6B8E23,107,142,35,2330219
olivedrab 1,#C0FF3E,192,255,62,4128704
olivedrab 2,#B3EE3A,179,238,58,3862195
olivedrab 3,#9ACD32,154,205,50,3329434
yellowgreen,#9ACD32,154,205,50,3329434
olivedrab 4,#698B22,105,139,34,2263913
ivory,#FFFFF0,255,255,240,15794175
ivory 1,#FFFFF0,255,255,240,15794175
ivory 2,#EEEEE0,238,238,224,14741230
ivory 3,#CDCDC1,205,205,193,12701133
ivory 4,#8B8B83,139,139,131,8620939
beige,#F5F5DC,245,245,220,14480885
lightyellow,#FFFFE0,255,255,224,14745599
lightyellow 1,#FFFFE0,255,255,224,14745599
lightyellow 2,#EEEED1,238,238,209,13758190
lightyellow 3,#CDCDB4,205,205,180,11849165
lightyellow 4,#8B8B7A,139,139,122,8031115
lightgoldenrodyellow,#FAFAD2,250,250,210,13826810
yellow,#FFFF00,255,255,0,65535
yellow 1,#FFFF00,255,255,0,65535
yellow 2,#EEEE00,238,238,0,61166
yellow 3,#CDCD00,205,205,0,52685
yellow 4,#8B8B00,139,139,0,35723
warmgrey,#808069,128,128,105,6914176
olive,#808000,128,128,0,32896
darkkhaki,#BDB76B,189,183,107,7059389
khaki 1,#FFF68F,255,246,143,9434879
khaki 2,#EEE685,238,230,133,8775406
khaki 3,#CDC673,205,198,115,7587533
khaki 4,#8B864E,139,134,78,5146251
khaki,#F0E68C,240,230,140,9234160
palegoldenrod,#EEE8AA,238,232,170,11200750
lemonchiffon,#FFFACD,255,250,205,13499135
lemonchiffon 1,#FFFACD,255,250,205,13499135
lemonchiffon 2,#EEE9BF,238,233,191,12577262
lemonchiffon 3,#CDC9A5,205,201,165,10865101
lemonchiffon 4,#8B8970,139,137,112,7375243
lightgoldenrod 1,#FFEC8B,255,236,139,9170175
lightgoldenrod 2,#EEDC82,238,220,130,8576238
lightgoldenrod 3,#CDBE70,205,190,112,7388877
lightgoldenrod 4,#8B814C,139,129,76,5013899
banana,#E3CF57,227,207,87,5754851
gold,#FFD700,255,215,0,55295
gold 1,#FFD700,255,215,0,55295
gold 2,#EEC900,238,201,0,51694
gold 3,#CDAD00,205,173,0,44493
gold 4,#8B7500,139,117,0,30091
cornsilk,#FFF8DC,255,248,220,14481663
cornsilk 1,#FFF8DC,255,248,220,14481663
cornsilk 2,#EEE8CD,238,232,205,13494510
cornsilk 3,#CDC8B1,205,200,177,11651277
cornsilk 4,#8B8878,139,136,120,7899275
goldenrod,#DAA520,218,165,32,2139610
goldenrod 1,#FFC125,255,193,37,2474495
goldenrod 2,#EEB422,238,180,34,2274542
goldenrod 3,#CD9B1D,205,155,29,1940429
goldenrod 4,#8B6914,139,105,20,1337739
darkgoldenrod,#B8860B,184,134,11,755384
darkgoldenrod 1,#FFB90F,255,185,15,1030655
darkgoldenrod 2,#EEAD0E,238,173,14,962030
darkgoldenrod 3,#CD950C,205,149,12,824781
darkgoldenrod 4,#8B6508,139,101,8,550283
orange,#FFA500,255,165,0,42495
orange 1,#FFA500,255,165,0,42495
orange 2,#EE9A00,238,154,0,39662
orange 3,#CD8500,205,133,0,34253
orange 4,#8B5A00,139,90,0,23179
floralwhite,#FFFAF0,255,250,240,15792895
oldlace,#FDF5E6,253,245,230,15136253
wheat,#F5DEB3,245,222,179,11788021
wheat 1,#FFE7BA,255,231,186,12249087
wheat 2,#EED8AE,238,216,174,11458798
wheat 3,#CDBA96,205,186,150,9878221
wheat 4,#8B7E66,139,126,102,6717067
moccasin,#FFE4B5,255,228,181,11920639
papayawhip,#FFEFD5,255,239,213,14020607
blanchedalmond,#FFEBCD,255,235,205,13495295
navajowhite,#FFDEAD,255,222,173,11394815
navajowhite 1,#FFDEAD,255,222,173,11394815
navajowhite 2,#EECFA1,238,207,161,10604526
navajowhite 3,#CDB38B,205,179,139,9155533
navajowhite 4,#8B795E,139,121,94,6191499
eggshell,#FCE6C9,252,230,201,13231868
tan,#D2B48C,210,180,140,9221330
brick,#9C661F,156,102,31,2057884
cadmiumyellow,#FF9912,255,153,18,1219071
antiquewhite,#FAEBD7,250,235,215,14150650
antiquewhite 1,#FFEFDB,255,239,219,14413823
antiquewhite 2,#EEDFCC,238,223,204,13426670
antiquewhite 3,#CDC0B0,205,192,176,11583693
antiquewhite 4,#8B8378,139,131,120,7897995
burlywood,#DEB887,222,184,135,8894686
burlywood 1,#FFD39B,255,211,155,10212351
burlywood 2,#EEC591,238,197,145,9553390
burlywood 3,#CDAA7D,205,170,125,8235725
burlywood 4,#8B7355,139,115,85,5600139
bisque,#FFE4C4,255,228,196,12903679
bisque 1,#FFE4C4,255,228,196,12903679
bisque 2,#EED5B7,238,213,183,12047854
bisque 3,#CDB79E,205,183,158,10401741
bisque 4,#8B7D6B,139,125,107,7044491
melon,#E3A869,227,168,105,6924515
carrot,#ED9121,237,145,33,2200045
darkorange,#FF8C00,255,140,0,36095
darkorange 1,#FF7F00,255,127,0,32767
darkorange 2,#EE7600,238,118,0,30446
darkorange 3,#CD6600,205,102,0,26317
darkorange 4,#8B4500,139,69,0,17803
orange,#FF8000,255,128,0,33023
tan 1,#FFA54F,255,165,79,5219839
tan 2,#EE9A49,238,154,73,4823790
tan 3,#CD853F,205,133,63,4163021
peru,#CD853F,205,133,63,4163021
tan 4,#8B5A2B,139,90,43,2841227
linen,#FAF0E6,250,240,230,15134970
peachpuff,#FFDAB9,255,218,185,12180223
peachpuff 1,#FFDAB9,255,218,185,12180223
peachpuff 2,#EECBAD,238,203,173,11389934
peachpuff 3,#CDAF95,205,175,149,9809869
peachpuff 4,#8B7765,139,119,101,6649739
seashell,#FFF5EE,255,245,238,15660543
seashell 1,#FFF5EE,255,245,238,15660543
seashell 2,#EEE5DE,238,229,222,14607854
seashell 3,#CDC5BF,205,197,191,12568013
seashell 4,#8B8682,139,134,130,8554123
sandybrown,#F4A460,244,164,96,6333684
rawsienna,#C76114,199,97,20,1335751
chocolate,#D2691E,210,105,30,1993170
chocolate 1,#FF7F24,255,127,36,2392063
chocolate 2,#EE7621,238,118,33,2193134
chocolate 3,#CD661D,205,102,29,1926861
chocolate 4,#8B4513,139,69,19,1262987
saddlebrown,#8B4513,139,69,19,1262987
ivoryblack,#292421,41,36,33,2171945
flesh,#FF7D40,255,125,64,4226559
cadmiumorange,#FF6103,255,97,3,221695
burntsienna,#8A360F,138,54,15,997002
sienna,#A0522D,160,82,45,2970272
sienna 1,#FF8247,255,130,71,4686591
sienna 2,#EE7942,238,121,66,4356590
sienna 3,#CD6839,205,104,57,3762381
sienna 4,#8B4726,139,71,38,2508683
lightsalmon,#FFA07A,255,160,122,8036607
lightsalmon 1,#FFA07A,255,160,122,8036607
lightsalmon 2,#EE9572,238,149,114,7509486
lightsalmon 3,#CD8162,205,129,98,6455757
lightsalmon 4,#8B5742,139,87,66,4347787
coral,#FF7F50,255,127,80,5275647
orangered,#FF4500,255,69,0,17919
orangered 1,#FF4500,255,69,0,17919
orangered 2,#EE4000,238,64,0,16622
orangered 3,#CD3700,205,55,0,14285
orangered 4,#8B2500,139,37,0,9611
sepia,#5E2612,94,38,18,1189470
darksalmon,#E9967A,233,150,122,8034025
salmon 1,#FF8C69,255,140,105,6917375
salmon 2,#EE8262,238,130,98,6456046
salmon 3,#CD7054,205,112,84,5533901
salmon 4,#8B4C39,139,76,57,3755147
coral 1,#FF7256,255,114,86,5665535
coral 2,#EE6A50,238,106,80,5270254
coral 3,#CD5B45,205,91,69,4545485
coral 4,#8B3E2F,139,62,47,3096203
burntumber,#8A3324,138,51,36,2372490
tomato,#FF6347,255,99,71,4678655
tomato 1,#FF6347,255,99,71,4678655
tomato 2,#EE5C42,238,92,66,4349166
tomato 3,#CD4F39,205,79,57,3755981
tomato 4,#8B3626,139,54,38,2504331
salmon,#FA8072,250,128,114,7504122
mistyrose,#FFE4E1,255,228,225,14804223
mistyrose 1,#FFE4E1,255,228,225,14804223
mistyrose 2,#EED5D2,238,213,210,13817326
mistyrose 3,#CDB7B5,205,183,181,11909069
mistyrose 4,#8B7D7B,139,125,123,8093067
snow,#FFFAFA,255,250,250,16448255
snow 1,#FFFAFA,255,250,250,16448255
snow 2,#EEE9E9,238,233,233,15329774
snow 3,#CDC9C9,205,201,201,13224397
snow 4,#8B8989,139,137,137,9013643
rosybrown,#BC8F8F,188,143,143,9408444
rosybrown 1,#FFC1C1,255,193,193,12698111
rosybrown 2,#EEB4B4,238,180,180,11842798
rosybrown 3,#CD9B9B,205,155,155,10197965
rosybrown 4,#8B6969,139,105,105,6908299
lightcoral,#F08080,240,128,128,8421616
indianred,#CD5C5C,205,92,92,6053069
indianred 1,#FF6A6A,255,106,106,6974207
indianred 2,#EE6363,238,99,99,6513646
indianred 4,#8B3A3A,139,58,58,3816075
indianred 3,#CD5555,205,85,85,5592525
brown,#A52A2A,165,42,42,2763429
brown 1,#FF4040,255,64,64,4210943
brown 2,#EE3B3B,238,59,59,3881966
brown 3,#CD3333,205,51,51,3355597
brown 4,#8B2323,139,35,35,2302859
firebrick,#B22222,178,34,34,2237106
firebrick 1,#FF3030,255,48,48,3158271
firebrick 2,#EE2C2C,238,44,44,2895086
firebrick 3,#CD2626,205,38,38,2500301
firebrick 4,#8B1A1A,139,26,26,1710731
red,#FF0000,255,0,0,255
red,#FF0000,255,0,0,255
red 2,#EE0000,238,0,0,238
red 3,#CD0000,205,0,0,205
red 4,#8B0000,139,0,0,139
darkred,#8B0000,139,0,0,139
maroon,#800000,128,0,0,128
sgi beet,#8E388E,142,56,142,9320590
sgi slateblue,#7171C6,113,113,198,13005169
sgi lightblue,#7D9EC0,125,158,192,12623485
sgi teal,#388E8E,56,142,142,9342520
sgi chartreuse,#71C671,113,198,113,7456369
sgi olivedrab,#8E8E38,142,142,56,3706510
sgi brightgray,#C5C1AA,197,193,170,11190725
sgi salmon,#C67171,198,113,113,7434694
sgi darkgray,#555555,85,85,85,5592405
sgi gray 12,#1E1E1E,30,30,30,1973790
sgi gray 16,#282828,40,40,40,2631720
sgi gray 32,#515151,81,81,81,5329233
sgi gray 36,#5B5B5B,91,91,91,5987163
sgi gray 52,#848484,132,132,132,8684676
sgi gray 56,#8E8E8E,142,142,142,9342606
sgi lightgray,#AAAAAA,170,170,170,11184810
sgi gray 72,#B7B7B7,183,183,183,12040119
sgi gray 76,#C1C1C1,193,193,193,12698049
sgi gray 92,#EAEAEA,234,234,234,15395562
sgi gray 96,#F4F4F4,244,244,244,16053492
white,#FFFFFF,255,255,255,16777215
white smoke,#F5F5F5,245,245,245,16119285
gray 96,#F5F5F5,245,245,245,16119285
gainsboro,#DCDCDC,220,220,220,14474460
lightgrey,#D3D3D3,211,211,211,13882323
silver,#C0C0C0,192,192,192,12632256
darkgray,#A9A9A9,169,169,169,11119017
gray,#808080,128,128,128,8421504
dimgray,#696969,105,105,105,6908265
gray 41,#696969,105,105,105,6908265
black,#000000,0,0,0,0
gray 99,#FCFCFC,252,252,252,16579836
gray 98,#FAFAFA,250,250,250,16448250
gray 97,#F7F7F7,247,247,247,16250871
gray 95,#F2F2F2,242,242,242,15921906
gray 94,#F0F0F0,240,240,240,15790320
gray 93,#EDEDED,237,237,237,15592941
gray 92,#EBEBEB,235,235,235,15461355
gray 91,#E8E8E8,232,232,232,15263976
gray 90,#E5E5E5,229,229,229,15066597
gray 89,#E3E3E3,227,227,227,14935011
gray 88,#E0E0E0,224,224,224,14737632
gray 87,#DEDEDE,222,222,222,14606046
gray 86,#DBDBDB,219,219,219,14408667
gray 85,#D9D9D9,217,217,217,14277081
gray 84,#D6D6D6,214,214,214,14079702
gray 83,#D4D4D4,212,212,212,13948116
gray 82,#D1D1D1,209,209,209,13750737
gray 81,#CFCFCF,207,207,207,13619151
gray 80,#CCCCCC,204,204,204,13421772
gray 79,#C9C9C9,201,201,201,13224393
gray 78,#C7C7C7,199,199,199,13092807
gray 77,#C4C4C4,196,196,196,12895428
gray 76,#C2C2C2,194,194,194,12763842
gray 75,#BFBFBF,191,191,191,12566463
gray 74,#BDBDBD,189,189,189,12434877
gray 73,#BABABA,186,186,186,12237498
gray 72,#B8B8B8,184,184,184,12105912
gray 71,#B5B5B5,181,181,181,11908533
gray 70,#B3B3B3,179,179,179,11776947
gray 69,#B0B0B0,176,176,176,11579568
gray 68,#ADADAD,173,173,173,11382189
gray 67,#ABABAB,171,171,171,11250603
gray 66,#A8A8A8,168,168,168,11053224
gray 65,#A6A6A6,166,166,166,10921638
gray 64,#A3A3A3,163,163,163,10724259
gray 63,#A1A1A1,161,161,161,10592673
gray 62,#9E9E9E,158,158,158,10395294
gray 61,#9C9C9C,156,156,156,10263708
gray 60,#999999,153,153,153,10066329
gray 59,#969696,150,150,150,9868950
gray 58,#949494,148,148,148,9737364
gray 57,#919191,145,145,145,9539985
gray 56,#8F8F8F,143,143,143,9408399
gray 55,#8C8C8C,140,140,140,9211020
gray 54,#8A8A8A,138,138,138,9079434
gray 53,#878787,135,135,135,8882055
gray 52,#858585,133,133,133,8750469
gray 51,#828282,130,130,130,8553090
gray 50,#7F7F7F,127,127,127,8355711
gray 49,#7D7D7D,125,125,125,8224125
gray 48,#7A7A7A,122,122,122,8026746
gray 47,#787878,120,120,120,7895160
gray 46,#757575,117,117,117,7697781
gray 45,#737373,115,115,115,7566195
gray 44,#707070,112,112,112,7368816
gray 43,#6E6E6E,110,110,110,7237230
gray 42,#6B6B6B,107,107,107,7039851
gray 40,#666666,102,102,102,6710886
gray 39,#636363,99,99,99,6513507
gray 38,#616161,97,97,97,6381921
gray 37,#5E5E5E,94,94,94,6184542
gray 36,#5C5C5C,92,92,92,6052956
gray 35,#595959,89,89,89,5855577
gray 34,#575757,87,87,87,5723991
gray 33,#545454,84,84,84,5526612
gray 32,#525252,82,82,82,5395026
gray 31,#4F4F4F,79,79,79,5197647
gray 30,#4D4D4D,77,77,77,5066061
gray 29,#4A4A4A,74,74,74,4868682
gray 28,#474747,71,71,71,4671303
gray 27,#454545,69,69,69,4539717
gray 26,#424242,66,66,66,4342338
gray 25,#404040,64,64,64,4210752
gray 24,#3D3D3D,61,61,61,4013373
gray 23,#3B3B3B,59,59,59,3881787
gray 22,#383838,56,56,56,3684408
gray 21,#363636,54,54,54,3552822
gray 20,#333333,51,51,51,3355443
gray 19,#303030,48,48,48,3158064
gray 18,#2E2E2E,46,46,46,3026478
gray 17,#2B2B2B,43,43,43,2829099
gray 16,#292929,41,41,41,2697513
gray 15,#262626,38,38,38,2500134
gray 14,#242424,36,36,36,2368548
gray 13,#212121,33,33,33,2171169
gray 12,#1F1F1F,31,31,31,2039583
gray 11,#1C1C1C,28,28,28,1842204
gray 10,#1A1A1A,26,26,26,1710618
gray 9,#171717,23,23,23,1513239
gray 8,#141414,20,20,20,1315860
gray 7,#121212,18,18,18,1184274
gray 6,#0F0F0F,15,15,15,986895
gray 5,#0D0D0D,13,13,13,855309
gray 4,#0A0A0A,10,10,10,657930
gray 3,#080808,8,8,8,526344
gray 2,#050505,5,5,5,328965
gray 1,#030303,3,3,3,197379
